== Status ==
Current time: 2022-05-15 02:38:20 (running for 01:25:30.55)
Memory usage on this node: 12.2/15.9 GiB
Using AsyncHyperBand: num_stopped=100
Bracket: Iter 64.000: -0.19752756536006927 | Iter 32.000: -0.2563137107491493 | Iter 16.000: -0.32084514427185057 | Iter 8.000: -0.5145277217626572 | Iter 4.000: -0.5625903210639953 | Iter 2.000: -0.6340417296886445 | Iter 1.000: -0.6643440895080567
Resources requested: 0/12 CPUs, 0/1 GPUs, 0.0/5.16 GiB heap, 0.0/2.58 GiB objects
Result logdir: C:\Users\Marcu\ray_results\DEFAULT_2022-05-15_01-12-49
Number of trials: 100/100 (100 TERMINATED)
+---------------------+------------+-----------------+------+------+-------------+---------+--------------+-------------+-----------+-----------+------------+----------------------+
| Trial name          | status     | loc             |   l1 |   l2 |          lr |   kernw |   kernlayers | weight      |   dropout |      loss |   accuracy |   training_iteration |
| DEFAULT_5f8d0_00037 | TERMINATED | 127.0.0.1:37780 |    4 |   32 | 0.00180021  |      70 |            8 | [1.0, 20.0] |       0.6 |  0.888073 |       0.5  |                    1 |
| DEFAULT_5f8d0_00038 | TERMINATED | 127.0.0.1:24556 |   16 |   32 | 0.000652595 |      70 |           12 | [1.0, 10.0] |       0.5 |  0.632281 |       0.5  |                    4 |
| DEFAULT_5f8d0_00039 | TERMINATED | 127.0.0.1:42124 |   16 |  256 | 2.03857e-05 |      70 |           10 | [1.0, 10.0] |       0.5 |  0.659829 |       0.5  |                    2 |
| DEFAULT_5f8d0_00040 | TERMINATED | 127.0.0.1:41572 |    4 |   32 | 0.000148306 |      50 |           10 | [1.0, 5.0]  |       0.5 |  0.62101  |       0.5  |                    4 |
| DEFAULT_5f8d0_00041 | TERMINATED | 127.0.0.1:36404 |    8 |  128 | 0.00101374  |      60 |            8 | [1.0, 5.0]  |       0.6 |  0.628357 |       0.5  |                    4 |
| DEFAULT_5f8d0_00042 | TERMINATED | 127.0.0.1:41760 |  256 |    4 | 0.00039254  |      50 |           10 | [1.0, 20.0] |       0.6 |  0.560051 |       0.5  |                    8 |
| DEFAULT_5f8d0_00043 | TERMINATED | 127.0.0.1:43384 |   32 |  256 | 8.9424e-05  |      60 |            8 | [1.0, 15.0] |       0.6 |  0.719946 |       0.5  |                    1 |
| DEFAULT_5f8d0_00044 | TERMINATED | 127.0.0.1:26904 |   64 |    4 | 0.00175401  |      80 |           10 | [1.0, 10.0] |       0.6 |  0.97239  |       0.5  |                    1 |
| DEFAULT_5f8d0_00045 | TERMINATED | 127.0.0.1:40164 |    4 |  128 | 2.60337e-05 |      60 |           10 | [1.0, 15.0] |       0.6 |  0.653756 |       0.5  |                    2 |
| DEFAULT_5f8d0_00046 | TERMINATED | 127.0.0.1:1412  |    4 |   64 | 0.000119074 |      90 |           10 | [1.0, 15.0] |       0.5 |  0.562993 |       0.5  |                    8 |
| DEFAULT_5f8d0_00047 | TERMINATED | 127.0.0.1:36644 |   16 |    8 | 0.000223667 |      40 |            8 | [1.0, 10.0] |       0.5 |  0.663975 |       0.5  |                    2 |
| DEFAULT_5f8d0_00048 | TERMINATED | 127.0.0.1:42192 |   32 |  128 | 1.02669e-05 |      60 |           10 | [1.0, 20.0] |       0.4 |  0.773661 |       0.5  |                    1 |
| DEFAULT_5f8d0_00049 | TERMINATED | 127.0.0.1:43184 |  128 |  128 | 0.00263286  |      90 |            8 | [1.0, 5.0]  |       0.6 |  0.700162 |       0.5  |                    1 |
| DEFAULT_5f8d0_00050 | TERMINATED | 127.0.0.1:41224 |    4 |   32 | 0.00284877  |      60 |            6 | [1.0, 5.0]  |       0.5 |  0.624611 |       0.5  |                    4 |
| DEFAULT_5f8d0_00051 | TERMINATED | 127.0.0.1:40692 |   16 |   32 | 0.00145695  |      80 |            6 | [1.0, 5.0]  |       0.6 |  0.678667 |       0.5  |                    1 |
| DEFAULT_5f8d0_00052 | TERMINATED | 127.0.0.1:39276 |    4 |  128 | 0.0179011   |      90 |           10 | [1.0, 5.0]  |       0.5 |  0.685186 |       0.5  |                    1 |
| DEFAULT_5f8d0_00053 | TERMINATED | 127.0.0.1:28068 |    8 |    8 | 0.000128866 |      60 |            6 | [1.0, 15.0] |       0.4 |  0.610421 |       0.5  |                    4 |
| DEFAULT_5f8d0_00054 | TERMINATED | 127.0.0.1:39948 |    8 |   16 | 0.000977952 |      90 |            6 | [1.0, 10.0] |       0.4 |  0.752021 |       0.5  |                    1 |
| DEFAULT_5f8d0_00055 | TERMINATED | 127.0.0.1:43040 |  256 |    4 | 1.11547e-05 |      40 |           10 | [1.0, 10.0] |       0.5 |  0.709331 |       0.5  |                    1 |
| DEFAULT_5f8d0_00056 | TERMINATED | 127.0.0.1:18100 |  128 |   16 | 0.0515284   |      50 |           12 | [1.0, 5.0]  |       0.4 |  3.82082  |       0.5  |                    2 |
| DEFAULT_5f8d0_00057 | TERMINATED | 127.0.0.1:11312 |    4 |   32 | 0.000274642 |      60 |           12 | [1.0, 20.0] |       0.6 |  0.548778 |       0.5  |                    8 |
| DEFAULT_5f8d0_00058 | TERMINATED | 127.0.0.1:39644 |   16 |   32 | 0.000452061 |      90 |            8 | [1.0, 10.0] |       0.6 |  0.659717 |       0.5  |                    2 |
| DEFAULT_5f8d0_00059 | TERMINATED | 127.0.0.1:41632 |    4 |  256 | 0.076874    |      60 |            6 | [1.0, 20.0] |       0.5 |  0.343467 |       0.5  |                   16 |
| DEFAULT_5f8d0_00060 | TERMINATED | 127.0.0.1:39748 |   16 |    8 | 0.000518105 |      70 |            8 | [1.0, 10.0] |       0.6 |  0.682714 |       0.5  |                    1 |
| DEFAULT_5f8d0_00061 | TERMINATED | 127.0.0.1:38776 |    8 |  256 | 0.00025937  |      40 |           10 | [1.0, 10.0] |       0.4 |  0.619004 |       0.5  |                    4 |
| DEFAULT_5f8d0_00062 | TERMINATED | 127.0.0.1:42880 |  256 |   16 | 1.64032e-05 |      40 |           12 | [1.0, 5.0]  |       0.5 |  0.756648 |       0.5  |                    1 |
| DEFAULT_5f8d0_00063 | TERMINATED | 127.0.0.1:40868 |   16 |   32 | 0.00245504  |      80 |           12 | [1.0, 5.0]  |       0.6 |  0.696404 |       0.5  |                    1 |
| DEFAULT_5f8d0_00064 | TERMINATED | 127.0.0.1:43508 |   16 |  128 | 1.92377e-05 |      60 |            6 | [1.0, 20.0] |       0.6 |  0.641613 |       0.5  |                    2 |
| DEFAULT_5f8d0_00065 | TERMINATED | 127.0.0.1:36068 |   64 |    4 | 0.025622    |      40 |           12 | [1.0, 5.0]  |       0.4 |  0.46424  |       0.5  |                   16 |
| DEFAULT_5f8d0_00066 | TERMINATED | 127.0.0.1:37616 |  128 |   64 | 0.00928285  |      70 |            8 | [1.0, 10.0] |       0.5 |  0.31668  |       0.5  |                   32 |
| DEFAULT_5f8d0_00067 | TERMINATED | 127.0.0.1:40408 |    4 |   64 | 0.0591767   |      90 |            8 | [1.0, 10.0] |       0.4 |  0.890767 |       0.5  |                    1 |
| DEFAULT_5f8d0_00068 | TERMINATED | 127.0.0.1:26704 |    4 |    8 | 0.000851944 |      60 |           12 | [1.0, 10.0] |       0.5 |  0.649693 |       0.5  |                    2 |
| DEFAULT_5f8d0_00069 | TERMINATED | 127.0.0.1:35116 |   32 |    8 | 6.58625e-05 |      80 |           12 | [1.0, 20.0] |       0.5 |  0.554714 |       0.5  |                    8 |
| DEFAULT_5f8d0_00070 | TERMINATED | 127.0.0.1:36832 |   64 |  128 | 0.00556541  |      80 |            6 | [1.0, 10.0] |       0.6 |  0.368384 |       0.5  |                   16 |
| DEFAULT_5f8d0_00071 | TERMINATED | 127.0.0.1:38088 |    8 |    4 | 0.00198004  |      40 |            8 | [1.0, 15.0] |       0.5 |  0.640173 |       0.5  |                    2 |
| DEFAULT_5f8d0_00072 | TERMINATED | 127.0.0.1:13116 |    8 |    4 | 0.0580714   |      40 |           12 | [1.0, 20.0] |       0.4 |  0.191449 |       0.5  |                  100 |
| DEFAULT_5f8d0_00073 | TERMINATED | 127.0.0.1:41724 |  128 |   16 | 1.04083e-05 |      80 |            6 | [1.0, 20.0] |       0.5 |  0.837981 |       0.5  |                    1 |
| DEFAULT_5f8d0_00074 | TERMINATED | 127.0.0.1:38492 |  256 |    4 | 0.00496286  |      40 |            6 | [1.0, 10.0] |       0.6 |  0.589171 |       0.5  |                    4 |
| DEFAULT_5f8d0_00075 | TERMINATED | 127.0.0.1:41652 |    8 |    4 | 0.00193865  |      60 |            8 | [1.0, 5.0]  |       0.5 |  0.658961 |       0.5  |                    2 |
| DEFAULT_5f8d0_00076 | TERMINATED | 127.0.0.1:41756 |    4 |   64 | 0.000932965 |      70 |           12 | [1.0, 20.0] |       0.6 |  0.816728 |       0.5  |                    1 |
| DEFAULT_5f8d0_00077 | TERMINATED | 127.0.0.1:40704 |  256 |   32 | 0.00135767  |      70 |            8 | [1.0, 15.0] |       0.4 |  0.739202 |       0.5  |                    1 |
| DEFAULT_5f8d0_00078 | TERMINATED | 127.0.0.1:33124 |    4 |   32 | 2.18157e-05 |      60 |            8 | [1.0, 5.0]  |       0.4 |  0.644885 |       0.5  |                    2 |
| DEFAULT_5f8d0_00079 | TERMINATED | 127.0.0.1:43596 |   32 |  256 | 1.08775e-05 |      70 |           12 | [1.0, 5.0]  |       0.4 |  0.66204  |       0.5  |                    2 |
| DEFAULT_5f8d0_00080 | TERMINATED | 127.0.0.1:41380 |   16 |   64 | 0.062203    |      50 |           10 | [1.0, 5.0]  |       0.5 |  0.738349 |       0.5  |                    4 |
| DEFAULT_5f8d0_00081 | TERMINATED | 127.0.0.1:43924 |  128 |  256 | 0.00564     |      90 |            6 | [1.0, 15.0] |       0.6 |  0.522755 |       0.5  |                    8 |
| DEFAULT_5f8d0_00082 | TERMINATED | 127.0.0.1:43744 |  128 |  128 | 7.00526e-05 |      50 |            8 | [1.0, 20.0] |       0.6 |  0.706801 |       0.5  |                    1 |
| DEFAULT_5f8d0_00083 | TERMINATED | 127.0.0.1:40052 |   64 |  256 | 0.0758181   |      70 |            6 | [1.0, 20.0] |       0.4 | 41.4601   |       0.5  |                    2 |
